"","deviance"
"LOC108002575",32254.9587607457
"LOC108003270",60658.1930176711
"LOC133665639",12532.0665214968
"LOC108003272",65526.3295281634
"LOC108002547",54026.3123871274
"LOC108002537",21733.9651801378
"LOC108001965",57094.1819125216
"LOC108002544",43576.6711554994
"LOC108002546",43742.3733379177
"LOC108002567",109479.811980951
"LOC108002568",52415.6914667591
"LOC108002573",47701.0420353775
"LOC114578120",39388.3869165404
"LOC108002545",40156.5902134047
"LOC108002538",43814.0476975488
"LOC108002564",32347.4269261039
"LOC108002539",4283.94706891147
"LOC108002566",51187.0133938582
"LOC108002576",9681.35964160689
"LOC108002569",67781.1072089716
"LOC108002556",9039.14754628409
"LOC108002555",78136.6764790996
"LOC108002572",27064.7894025595
"LOC108002571",48195.6174017182
"LOC108002570",41112.7908741507
"LOC108002559",54282.7196694522
"LOC108002557",5665.81638580704
"LOC108002560",61737.0518370008
"LOC108002558",13095.5578795826
"LOC133667011",751.812286187196
"LOC108002550",41314.9983260793
"LOC108002552",56974.9388262508
"LOC108002553",41453.5978762278
"LOC108002540",44484.5740268407
"LOC108002565",54631.2442594825
"LOC133667017",14285.9369324926
"LOC108002561",182179.541250663
"LOC108002562",12385.6773266122
"LOC114578121",3404.77801891733
"LOC108002563",11206.1615590259
"LOC108002541",719.884386361068
"LOC108002543",366.454138956759
"LOC133666850",496.442279449918
"LOC108002577",149989.642485027
"LOC108002966",276506.56917132
"LOC133665689",410.731238712963
"LOC108002975",11383.3167204501
"LOC133667282",927.984031849345
"LOC108002965",60519.8516924218
"LOC107993719",228932.254912816
"LOC133667279",21593.5995075088
"LOC133667284",476.309575845944
"LOC108002968",60369.3150104121
"LOC108002955",19078.4037912816
"LOC108002958",4593.64924117417
"LOC108002957",18790.9767572583
"LOC108002956",2199.77864780468
"LOC108002960",5799.61474854746
"LOC108002948",29374.335544564
"LOC108002969",56955.2092526846
"LOC108002953",299.351302842538
"LOC108002963",10128.1674725879
"LOC114578151",6561.61604756621
"LOC108002964",208080.306139742
"LOC114578153",31144.3164362153
"LOC108002949",389.285673133933
"LOC108002970",5040.62439233972
"LOC108002973",4409.61261910275
"LOC108002972",40053.8055120847
"LOC108002951",367.472120062332
"LOC107997986",2815.08812277922
"LOC114577437",995.008646323617
"LOC107997977",54432.037129613
"LOC133667791",12245.9892278491
"LOC107997955",42918.7901144447
"LOC107997416",15783.574665769
"LOC107998045",48541.447113306
"LOC107997796",55094.3843419596
"LOC107997816",63997.0727598818
"LOC107997765",32957.3725852695
"LOC107998084",1615.32011797731
"LOC107998056",4102.66152021196
"LOC107997349",7165.52013144902
"LOC107997402",34429.6477946016
"LOC107997438",29674.6502801187
"LOC107997406",8373.90543563347
"LOC107997600",24865.9927732868
"LOC107997603",52397.6434348875
"LOC107997580",35785.0084992373
"LOC107997616",52732.8450838811
"LOC107997645",45620.8508800821
"LOC107997638",30683.7683468695
"LOC107997624",36884.6250420565
"LOC107997398",42053.7311429351
"LOC107997369",22055.0058913261
