"","size_factors"
"639",1.69665650384906
"640",1.69409579658279
"641",1.67622316930297
"642",1.70434325665539
"643",1.58390123793624
"644",1.74629626252887
"645",0.944111019199953
"646",1.64636575445026
"647",1.71908493194681
"648",1.70396162133103
"649",1.75477899326596
"650",1.62358736383487
"651",1.55549884556068
"652",1.74282266529336
"653",1.70294384299084
"654",1.72036718681048
"655",1.62256570535598
"656",1.5650105101196
"657",1.53205137865569
"658",1.65549373893643
"659",1.54211639788737
"660",1.66822689413634
"661",1.66306994640194
"662",1.67141652799683
"663",1.5726355949208
"664",1.61377611201892
"665",1.68670010797357
"666",1.66025706903592
"667",1.69559077560167
"668",1.77869013180143
"669",1.85720834838972
"670",1.69253138809524
"671",1.78188576140852
"672",1.11457380300661
"673",1.65056662007602
"674",1.70183586236342
"675",1.64676415874542
"676",1.70367233772672
"677",1.55355641053785
"678",1.61128277821634
"679",1.64471294288133
"680",1.70938515557909
"681",1.00608016336104
"682",1.68499577085149
"683",1.78088456157846
"684",1.80386339157581
"685",1.59275096218059
"686",1.66110731024344
"687",1.55074425340573
"688",1.52072551054733
"689",1.48402871439664
"690",1.69419555684085
"691",1.68409543261855
"692",1.80627488769244
"693",1.70066839391266
"694",1.6458678098183
"695",1.6389018592082
"696",1.65047558341463
"697",1.68182560802517
"698",1.63142651985713
"699",1.67712877929475
"700",1.80128589350667
"701",1.60955045518782
"702",1.5651694441669
"703",1.6065855699249
"704",1.56224909738359
"705",1.6787897011533
"706",1.73155010038253
"707",1.65934751590616
"708",1.6463715978314
"709",1.69050223197747
"710",1.62399219907783
"711",1.67931263568789
"712",1.78045224512073
"713",1.64699601660403
"714",1.54987620019608
"715",1.64421890120475
"716",1.52563643453774
"717",1.53073718024919
"718",1.6737734491893
"719",1.60878770094706
"720",1.73294792290568
"721",1.67200213899227
"722",1.75329247398275
"723",1.5905892014252
"724",1.72383035788521
"725",1.49920649132362
"726",1.66086902052453
"727",1.63713132911321
"728",1.52883203408064
"729",1.66584806100578
"730",1.67517921153711
"731",1.53666237219311
"732",1.72328515282337
"733",1.68859325378317
"734",1.75376384554722
"735",1.79701054995687
"736",1.67943034093141
"737",1.61392517449861
"738",1.70113431030465
"739",1.54500067255512
"740",1.54993219169108
"741",1.61850539357357
"742",1.68462623098123
"743",1.61940216363531
"744",1.79989977536386
"745",1.73481329053969
"746",1.25040231647993
"747",1.6809281848391
"748",1.7395178763752
"749",1.66741933207979
"750",1.71610870687162
"751",1.61464139899078
"752",1.71901458916202
"753",1.74548213236946
"754",1.61812140680022
"755",1.72816989480621
"756",1.79712493165036
"757",1.49485407555047
"758",1.92295560031775
"759",1.5911677063654
"760",1.64961686268699
"761",1.71909080535741
"762",1.6184337315231
"763",1.73419631823268
"764",1.65519221951998
"765",1.7390314836648
"766",1.65586850863109
"767",1.69697400485599
"768",1.68493807709867
"769",1.62721416573278
"770",1.46374072948773
"771",1.6463450607164
"772",1.64810592809693
"773",1.84335345434683
"774",1.71832001297848
"775",1.50972009923909
"776",1.67310766651834
"777",1.62607195267213
"778",1.7507260091343
"779",1.62314695599042
"780",1.60663311345238
"781",1.75524109500764
"782",1.70489755359783
"783",1.61666309529669
"784",1.71568509442352
"785",1.63377449504689
"786",1.68784943782235
"787",1.63110648140106
"788",1.64090525975645
"789",1.61550180780914
"790",1.62816369450688
"791",1.59058926823436
"792",1.69730707923993
"793",1.60794515949141
"794",1.69027657035835
"795",1.66587784127232
"796",1.65588836978915
"797",1.80086494085625
"798",1.64006223335583
"799",1.76896463958219
"800",1.66215331092297
"801",1.6435538396434
"802",1.67353972185531
"803",1.64556802883171
"804",1.56302970634132
"805",1.63476883831446
"806",1.66336378554675
"807",1.87836193951366
"808",1.80362818707386
"809",1.64563218210495
"810",1.62852840036457
"811",1.69423922456299
"812",1.68725332226152
"813",1.5983345882698
"814",1.72629677056705
"815",1.81171820390031
"816",1.62348810294836
"817",1.67586949887708
"818",1.74363261090524
"819",1.73960914779231
"820",1.72575918733623
"821",1.71017824771626
"822",1.6435005609622
"823",1.65363108921146
"824",1.65091998652346
"825",1.68911261130706
"826",1.66450142936884
"827",1.68375771789766
"828",1.81897398786343
"829",1.74016995198166
"830",1.60780817245836
"831",1.75669906499803
"832",1.63476334993745
"833",1.88887151878693
"834",1.63545074102109
"835",1.56174064321576
"836",1.62037870977828
"837",1.67846046659374
"838",1.54750457858164
"839",1.65884743992234
"840",1.73163791331816
"841",1.6075254573599
"842",1.65185577496569
"843",1.6472809497089
"844",1.72302414310529
"845",1.67040966657367
"846",1.66559690218959
"847",1.65316796198866
"848",1.76451818581433
"849",1.64110715119104
"850",1.66877993765084
"851",1.76950504301928
"852",1.57679241936057
"853",1.37629824889852
"854",1.58782074214715
"855",1.67031794650564
"856",1.6107471466527
"857",1.60362361255809
"858",1.63459996958425
"859",1.82228632750687
"860",1.62919990627149
"861",1.66818910340995
"862",1.66762980456385
"863",1.42297215142933
"864",1.59233493453553
"865",1.83147909035018
"866",1.67682554918604
"867",1.51386457433369
"868",1.601321569305
"869",1.67500254010723
"870",1.57734521070074
"871",1.76497702382225
"872",1.78790122371001
"873",1.65362145970924
"874",1.64417434025068
"875",1.61650003166799
"876",1.57158746361415
"877",1.65988758799967
"878",1.63802570493567
"879",1.7311000390739
"880",1.51247334443671
"881",1.62649625551941
"882",1.6892851956782
"883",1.57668762995226
"884",1.64014802515512
"885",1.79585058799258
"886",1.5574259764228
"887",1.70026288581055
"888",1.02971673646231
"889",1.60930998070687
"890",1.6514658938293
"891",1.70263531267598
"892",1.6997294614597
"893",1.70949481655264
"894",1.74781139980494
"895",1.75360300399961
"896",1.62780015532632
"897",1.61526852881025
"898",1.68990117805501
"899",1.6952552250825
"900",1.6317526986868
"901",1.80102775309443
"902",1.61197160646385
"903",1.75468078088474
"904",1.76214949105306
"905",1.67864707821104
"906",1.62688607754386
"907",1.66243481175305
"908",1.62493090299651
"909",0.454180056139286
