,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
LOC107964583,LOC107964583,Gene Expression,A_mel_mkref_out,False,12296,2.4542404552596935,1.2396025937633577,47.7810336773262,57790.0,10.96458833319395,11572
LOC113218563,LOC113218563,Gene Expression,A_mel_mkref_out,False,121,0.0053510001274047645,0.005336734394221304,99.48613411474922,126.0,4.844187086458591,113
LOC724784,LOC724784,Gene Expression,A_mel_mkref_out,False,4398,0.3042001104174629,0.26558991063994464,81.3224614600586,7163.0,8.876823763180603,4265
LOC552266,LOC552266,Gene Expression,A_mel_mkref_out,False,6859,0.8973117594598038,0.6404380208657938,70.87102390962755,21129.0,9.958449110610102,6103
LOC113218564,LOC113218564,Gene Expression,A_mel_mkref_out,False,1234,0.06349004119420733,0.0615559914339696,94.75941733554168,1495.0,7.310550158534422,1124
LOC406142,LOC406142,Gene Expression,A_mel_mkref_out,False,57,0.003312523888393426,0.0033070495670201178,99.7579309466174,78.0,4.3694478524670215,42
LOC102655365,LOC102655365,Gene Expression,A_mel_mkref_out,False,215,0.009343016095468637,0.009299640086443187,99.08693251794284,220.0,5.3981627015177525,197
LOC102656608,LOC102656608,Gene Expression,A_mel_mkref_out,False,240,0.011466428844438782,0.011401187598299698,98.98076188049433,270.0,5.602118820879701,222
LOC113218883,LOC113218883,Gene Expression,A_mel_mkref_out,False,197,0.008705992270777594,0.008668313648672345,99.16337537690576,205.0,5.327876168789581,189
LOC408896,LOC408896,Gene Expression,A_mel_mkref_out,False,15163,5.555060092580796,1.8802372846154114,35.60538497473139,130805.0,11.7814705885128,14125
LOC107964575,LOC107964575,Gene Expression,A_mel_mkref_out,False,25,0.0010617063744850724,0.0010611431628805782,99.89382936255149,25.0,3.258096538021482,24
LOC102653977,LOC102653977,Gene Expression,A_mel_mkref_out,False,389,0.017411984541555188,0.017262132914065757,98.34798488130123,410.0,6.018593214496234,355
Eif4g,GeneID_725259,Gene Expression,A_mel_mkref_out,False,15105,4.600118911113943,1.7227878316431524,35.85170085361192,108319.0,11.592845088146102,13662
LOC411150,LOC411150,Gene Expression,A_mel_mkref_out,False,4150,0.2664458317407738,0.2362144195021127,82.3756741835478,6274.0,8.744328763999984,3983
LOC100578804,LOC100578804,Gene Expression,A_mel_mkref_out,False,245,0.011466428844438782,0.011401187598299698,98.95952775300462,270.0,5.602118820879701,223
LOC724928,LOC724928,Gene Expression,A_mel_mkref_out,False,5044,0.4556843759289931,0.3754761515014036,78.57901218838919,10730.0,9.280892027927127,4897
LOC551658,LOC551658,Gene Expression,A_mel_mkref_out,False,7604,0.7093047946659872,0.5360867350226539,67.70713891366204,16702.0,9.723343622989947,7388
LOC411670,LOC411670,Gene Expression,A_mel_mkref_out,False,9601,1.071771350915191,0.7284039664331127,59.22622839427527,25237.0,10.136106074212856,9126
LOC551087,LOC551087,Gene Expression,A_mel_mkref_out,False,3234,0.1862232980846817,0.1707745611710025,86.2657663396611,4385.0,8.386172928977834,3106
LOC102655889,LOC102655889,Gene Expression,A_mel_mkref_out,False,2254,0.15139932900157133,0.14097801049196387,90.42765532764258,3565.0,8.179199798423086,2046
LOC413783,LOC413783,Gene Expression,A_mel_mkref_out,False,7193,0.5738735295366714,0.4535397970444274,69.4525841933155,13513.0,9.51148146411212,6893
LOC726672,LOC726672,Gene Expression,A_mel_mkref_out,False,249,0.01129655582452117,0.011233226229019677,98.94254045101287,266.0,5.58724865840025,143
LOC725800,LOC725800,Gene Expression,A_mel_mkref_out,False,1337,0.09780439121756487,0.09331217714165181,94.32199430925382,2303.0,7.742402021815781,1239
GlnS,GeneID_410066,Gene Expression,A_mel_mkref_out,False,8643,0.8903469656431817,0.6367603919282461,63.29468722130207,20965.0,9.950657357012519,7210
LOC409626,LOC409626,Gene Expression,A_mel_mkref_out,False,269,0.011976047904191617,0.011904902506318366,98.85760394105407,282.0,5.645446897643238,257
LOC412396,LOC412396,Gene Expression,A_mel_mkref_out,False,8961,1.6263642926912134,0.9656004915794772,61.944196712957066,38296.0,10.55312684311914,7339
LOC725593,LOC725593,Gene Expression,A_mel_mkref_out,False,543,0.029812714995540834,0.029376955607030672,97.69397375461843,702.0,6.555356891810665,492
LOC724490,LOC724490,Gene Expression,A_mel_mkref_out,False,4148,0.3478999447912685,0.2985477848030153,82.38416783454367,8192.0,9.011035410141815,3945
LOC100576836,LOC100576836,Gene Expression,A_mel_mkref_out,False,363,0.016690024206905338,0.016552276317040756,98.45840234424767,393.0,5.976350909297934,358
LOC409977,LOC409977,Gene Expression,A_mel_mkref_out,False,2416,0.11933579649212214,0.11273547054359315,89.73966959697626,2810.0,7.941295570906532,2331
LOC113218885,LOC113218885,Gene Expression,A_mel_mkref_out,False,481,0.021191659234722045,0.02097023873993103,97.95727693549073,499.0,6.214608098422191,469
LOC107964525,LOC107964525,Gene Expression,A_mel_mkref_out,False,1108,0.05665265214252346,0.05510603617652337,95.29451734828216,1334.0,7.19668657083435,1081
