"","deviance"
"LOC411882",10171.189494914
"LOC413754",10451.0956505541
"LOC551354",4628.09868316273
"LOC102655747",896.14190151985
"LOC552185",15302.9594229868
"LOC411705",14544.3799591422
"LOC102654698",5813.61175755065
"LOC100578255",7681.70291523453
"LOC107965571",558.550911630296
"LOC414038",13217.1270838652
"LOC411474",11111.9824715273
"LOC113219001",5023.23260695895
"CSP6",16161.0808343542
"LOC100577905",18602.7736088979
"LOC102655437",5962.9620972356
"LOC100576435",4185.92148209324
"LOC102656513",1112.35090473739
"LOC410788",12030.7686734531
"LOC725387",11219.2217667983
"LOC409113",12273.5932087474
"LOC409608",83727.1828382342
"LOC100578467",12920.6807217843
"LOC410676",11603.7066238927
"LOC551665",8763.62711575947
"LOC107965063",2338.60127319998
"LOC726369",8196.58474644413
"LOC551623",170907.695848845
"LOC551555",15103.699927406
"LOC725684",9300.39766222268
"LOC408601",13342.3713046117
"LOC552187",20782.3963336815
"LOC107966054",12698.2687215076
