"","deviance"
"LOC102655775",1083.49094603658
"LOC409517",93161.1013807936
"LOC410763",42140.3004572788
"LOC410747",39934.6323966798
"LOC412262",73032.6657798354
"LOC113219392",6858.4304643892
"LOC724196",47599.576815758
"LOC551622",28454.6804362712
"LOC113219135",15702.0652878792
"LOC113218798",40712.1515466672
"LOC409757",91979.8695158469
"LOC725239",7217.50829373978
"LOC113219405",22809.9424038965
"LOC100577833",157074.870617269
"LOC100577113",54369.6565528414
"LOC412588",77991.3083909396
"LOC100576602",81449.6771205922
"LOC100576425",46863.9575552355
"LOC413835",90541.2833037837
"LOC552719",45086.0097931375
"LOC409704",84870.8580492218
"LOC102656044",1475.81330054094
"LOC107965163",8759.7326914217
"LOC724948",79785.6261261876
"LOC726221",91972.5539868597
"LOC726742",57183.3638073481
"LOC411968",700.182505524135
"LOC551450",93374.2000417798
"LOC107965891",20059.9119439404
"LOC409193",83015.6320278493
"LOC412495",54658.8703602833
"LOC107963981",3975.98752416245
"Tret1",315093.673239614
"LOC725527",13826.5247716476
"LOC113219308",18330.7316144862
"LOC727419",30988.0885382505
"LOC725421",45149.4272719949
"LOC113219302",2363.22826744868
"LOC409936",104828.798104797
"LOC724537",72048.5969605098
"LOC102655594",3474.19520230378
"LOC102653866",54461.2187688525
"LOC408573",44517.8979076554
"LOC726259",34840.4072197295
"LOC410777",79554.2921775061
"LOC724282",51579.1877301184
"LOC411794",76490.6475924856
"LOC102654380",1752.01144764369
"LOC100577082",112921.959849784
"LOC113219404",129635.263450043
"LOC113219258",57500.1119078076
"LOC100577325",82520.0304150335
"LOC410678",79707.2452472068
"LOC100578621",127823.423934282
"LOC551546",74738.8325711834
"LOC409126",107380.59804838
"LOC100577365",20115.6052303556
"LOC550977",74262.2305287714
"LOC107965381",44655.8828833333
"LOC102656083",17905.6630940572
"LOC726056",154680.653748052
"LOC409733",81931.4703466857
"LOC724903",499588.745396084
"LOC552095",57558.7606607403
"LOC413118",81494.8930350426
"LOC102655896",106540.314939518
"LOC412528",62068.9298100468
"LOC552153",34056.3035482875
"LOC113218805",39645.960606185
"LOC100578424",42072.2022966921
"LOC725945",1967.98184759426
"LOC724195",496121.454719575
"LOC102656618",42336.4943166595
"LOC409957",205295.885686612
"LOC408635",47041.2419466242
"LOC551156",54990.5263886434
"LOC102654265",27240.8002505849
"LOC100579052",16170.1745590702
"LOC107964068",11887.7736520861
"LOC410694",149198.629859672
"LOC551620",74548.2129083381
"Fabp",72673.6103271893
"LOC113219249",3577.71826950554
"LOC411722",38915.8358713752
"LOC107964890",19963.1928506694
"LOC100577782",8337.92017136065
"LOC410021",407382.402780113
"LOC113219410",43767.6036150937
"LOC551892",51868.8285493228
"LOC100578513",71616.2630545933
"LOC551584",51114.2791405636
"TyrR",568183.063300297
"LOC725776",14418.5547902376
"LOC727087",47493.5316128149
"LOC100577019",361530.60353701
"LOC102655422",932.049952946244
"LOC107964593",3429.0288635163
"LOC107964158",7948.94038042706
"LOC724234",59215.6202124411
"LOC551679",65112.5916299769
"LOC100577481",63941.0731936671
"LOC412212",60030.1350476525
"LOC726148",229321.761302494
"LOC551889",82608.8952228522
"LOC724835",194767.49796667
"LOC409999",49154.9785359947
"LOC102655490",1663.8129690668
"LOC100578205",58024.0084382774
"LOC412745",72042.0313449606
"LOC102655679",59086.4013924081
"LOC413670",15927.3839105839
"LOC100577692",197718.454738683
"LOC100577585",21024.7289169986
"LOC100579059",69551.9155246892
"LOC113219416",49895.885473224
"LOC113218878",37132.9523602758
"LOC100577753",100843.80709232
"LOC408634",40159.7696370022
"LOC552162",51277.1473809109
"LOC107966041",227771.137539117
"LOC410674",228374.158124985
"LOC102654495",16694.2646987036
"LOC413968",643787.266221937
"LOC100578271",97890.0629437943
"LOC724720",77359.3338717036
"LOC551384",65916.2973337536
"Crzr",20292.2881336779
"LOC107964337",6140.95807095494
"LOC102655493",1248.48537067993
"LOC100577336",76135.216384829
"LOC409832",73270.4683585037
"Tpcn1",57785.4887716647
"LOC113219112",70031.7139963416
"LOC551109",45097.4326191898
"LOC413245",45593.6175816177
"RCC1",36679.0505484958
"LOC102656453",12482.2199089389
"LOC412948",63489.524996323
"LOC100576747",79469.0386777348
"LOC100578881",16610.0887306781
"LOC727267",40561.6003048871
"LOC725683",7164.94963765167
"LOC551699",50502.2916292748
"LOC413678",2374.13805086361
"LOC413378",62649.2007428166
"LOC725044",24138.3134363615
"LOC100576230",13893.439637791
"LOC552091",63854.1372685587
"LOC726708",62410.4736755575
"LOC100577704",4501.63254944222
"LOC409606",58047.1623460626
"LOC102654510",36048.1973273784
"LOC408616",228639.242977415
"LOC107966047",3816.92590360541
"LOC100577003",51203.2712776432
"LOC725028",42163.6327301182
"LOC552761",7895.6477147466
"LOC552260",31547.5735394521
"LOC726062",34640.3862896049
"LOC100577501",50038.5540193298
"LOC410739",210213.379332361
"LOC413468",123558.617344179
"LOC413374",61610.6088483232
"LOC551451",56610.8468458292
"LOC412613",58926.2213721127
"LOC726298",102698.14739014
"LOC551206",21018.6327814662
"Pcl",41742.2308968785
"LOC410780",127907.509599448
"LOC551621",16419.4253664388
"LOC727479",36984.3159680913
"LOC726810",20810.9856323791
"LOC102656318",18051.9318424932
"LOC725190",285676.193380138
"LOC551107",225143.588058654
"LOC412813",866157.159501176
"LOC725494",78780.7486894857
"LOC727538",65980.990307585
"LOC408609",58872.3713052346
"LOC551843",91249.1616494709
"LOC100578606",27293.2025398138
"LOC725819",77265.2780856938
"LOC413672",65780.3344141645
"LOC107965930",32638.2280749004
"LOC100578370",65330.0883274935
"LOC411526",72202.1907789112
"LOC725884",227995.526602343
"LOC113219400",30599.6773283409
"LOC100576414",4850.54657002162
"Hsc70-5",129617.658320167
"LOC725284",77766.8768961638
"LOC726446",32525.853525552
"LOC552644",66312.4867875371
"LOC100576258",9805.89924652803
"Slc35b1",63426.4897937845
"LOC102656732",656.605546885836
"LOC100577891",1131.33927748631
"LOC100578042",2738.08232449826
"LOC408597",34849.5677184949
"LOC412406",85544.397224227
"LOC413693",23567.2882157905
"LOC409360",57859.1199813504
"LOC107963988",30272.5642609614
"LOC411473",42466.6696406855
"LOC408587",54299.4318472254
"LOC408633",33292.6201324675
"LOC552128",70952.9701911462
"LOC100578060",2897.6133112825
"LOC413502",2685.09323722403
"LOC107964165",39761.3838646124
"LOC413346",660.919729750417
"Gtpx1",131869.64491189
"LOC724874",11912.4559930357
"LOC726545",3324.73625901034
"LOC724332",44747.8375434908
"LOC410050",38902.6556459193
"LOC102655946",5196.21776158871
"LOC724415",56348.6165381811
"LOC409127",85890.8616999667
"LOC102654159",54718.2008663968
"LOC725042",76708.6528848739
"LOC724585",50489.0977922514
"LOC107964458",2840.61362666561
"LOC409571",32160.3599947415
"LOC413024",149490.484121761
"LOC551383",52634.9367106027
"LOC410671",46238.7942095339
"LOC726756",84626.7901019577
"LOC412511",83540.5362536758
"Nedd9",198917.829500669
"LOC113219111",37453.6076759857
"LOC726015",11587.9226963642
"LOC724283",38800.9163887118
"LOC726347",124599.271594222
"LOC724115",48415.4973378411
"LOC410751",9335.3432819976
"LOC100577194",28404.7384638514
"LOC100578187",26178.0674876506
"LOC410785",323121.640233498
"LOC409238",163807.339913311
"LOC412224",68536.5255213715
"LOC412197",126814.739265523
"LOC725981",41834.3791120379
"LOC113218522",2201.23129251647
"LOC726349",114639.790499838
"LOC726450",164047.887780872
"LOC727019",63229.1203912483
"LOC724994",65093.6305242688
"LOC408645",550644.606877423
"LOC408578",27263.7432221275
"LOC113219402",17291.9077474132
"LOC102655012",29700.8515001215
"LOC410782",74683.9293262393
"LOC100576169",79131.2010124252
"LOC113219388",65634.8309973461
"LOC551281",52712.0498382349
"LOC102656224",102866.69587681
"LOC726412",15327.0048790676
"LOC726972",179556.758847691
"LOC412220",10013.0833767851
"LOC410706",905076.083402599
"LOC725724",56963.485012396
"LOC551356",1302106.8137489
"LOC100577847",55286.1504068422
"LOC409887",60383.3921175719
"LOC551612",75668.3155627383
"LOC410740",52238.1498599259
"LOC102653941",76725.1699747058
"LOC551559",40324.0696026947
"LOC102654047",1256.29640299622
"LOC102656636",39763.9181727911
"LOC726115",24855.5291732322
"LOC413501",5343.21760090425
"LOC411996",100918.483436576
"LOC408632",83068.2441146842
"LOC724372",65163.306546399
"LOC113219393",5687.30396500633
"LOC409607",100890.292597221
"LOC725848",18274.4861751261
"LOC724763",8426.43680484929
"LOC724991",123437.086483685
"LOC102655614",21209.1565345719
"LOC552206",90900.3921077533
"LOC412412",118372.40681755
"LOC727390",54096.6813550392
"LOC413240",25644.449689565
"LOC726544",147090.710168157
"LOC410071",78426.1806456102
"LOC100576961",15943.4212255964
"LOC100578978",12598.0470439751
"LOC414037",79067.7746865302
"LOC102654454",7396.96191144484
"LOC100576164",19104.6053025145
"LOC409584",116918.263274514
"LOC102656037",31663.3546158134
"LOC409717",103152.969732109
"LOC726060",165731.612501111
"LOC102654894",12076.6667145858
"LOC409062",65177.3570446564
"LOC413867",75748.225762093
"Or2",18801.5191100431
"LOC102656489",1097.89994794281
"LOC412721",48314.1749348817
"LOC551960",40586.9160811637
"LOC551790",52326.8082416108
"LOC409505",86346.0778564876
"LOC552243",275973.837679634
"LOC113219409",3824.22377572316
"LOC725647",165526.125065827
"LOC724280",58655.8956859981
"LOC551894",37059.9553793576
"LOC412458",22088.0586251048
