gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC551818,LOC551818,Gene Expression,A_mel_mkref_out,False,18775
LOC410157,LOC410157,Gene Expression,A_mel_mkref_out,False,13917
LOC113218547,LOC113218547,Gene Expression,A_mel_mkref_out,False,4324
LOC552332,LOC552332,Gene Expression,A_mel_mkref_out,False,35846
LOC107965369,LOC107965369,Gene Expression,A_mel_mkref_out,False,5182
LOC551670,LOC551670,Gene Expression,A_mel_mkref_out,False,5025
LOC100577533,LOC100577533,Gene Expression,A_mel_mkref_out,False,12416
LOC100576139,LOC100576139,Gene Expression,A_mel_mkref_out,False,5870
LOC113219245,LOC113219245,Gene Expression,A_mel_mkref_out,False,8066
LOC100578133,LOC100578133,Gene Expression,A_mel_mkref_out,False,2328
LOC414017,LOC414017,Gene Expression,A_mel_mkref_out,False,42611
LOC550785,LOC550785,Gene Expression,A_mel_mkref_out,False,90697
LOC413759,LOC413759,Gene Expression,A_mel_mkref_out,False,15805
LOC552660,LOC552660,Gene Expression,A_mel_mkref_out,False,15861
LOC410772,LOC410772,Gene Expression,A_mel_mkref_out,False,6754
LOC724639,LOC724639,Gene Expression,A_mel_mkref_out,False,18390
LOC100576726,LOC100576726,Gene Expression,A_mel_mkref_out,False,174
LOC100578571,LOC100578571,Gene Expression,A_mel_mkref_out,False,225
LOC725040,LOC725040,Gene Expression,A_mel_mkref_out,False,17548
LOC550996,LOC550996,Gene Expression,A_mel_mkref_out,False,20940
LOC725817,LOC725817,Gene Expression,A_mel_mkref_out,False,6812
LOC409911,LOC409911,Gene Expression,A_mel_mkref_out,False,43420
LOC113218939,LOC113218939,Gene Expression,A_mel_mkref_out,False,1020
LOC552065,LOC552065,Gene Expression,A_mel_mkref_out,False,9981
LOC410779,LOC410779,Gene Expression,A_mel_mkref_out,False,73596
LOC412114,LOC412114,Gene Expression,A_mel_mkref_out,False,13078
LOC409689,LOC409689,Gene Expression,A_mel_mkref_out,False,12401
LOC725279,LOC725279,Gene Expression,A_mel_mkref_out,False,10444
LOC410736,LOC410736,Gene Expression,A_mel_mkref_out,False,525
LOC409109,LOC409109,Gene Expression,A_mel_mkref_out,False,11760
LOC726368,LOC726368,Gene Expression,A_mel_mkref_out,False,11163
LOC100578657,LOC100578657,Gene Expression,A_mel_mkref_out,False,11056
LOC413425,LOC413425,Gene Expression,A_mel_mkref_out,False,18403
LOC102655652,LOC102655652,Gene Expression,A_mel_mkref_out,False,1227
LOC408574,LOC408574,Gene Expression,A_mel_mkref_out,False,20512
LOC724326,LOC724326,Gene Expression,A_mel_mkref_out,False,6311
LOC113218530,LOC113218530,Gene Expression,A_mel_mkref_out,False,541
LOC413674,LOC413674,Gene Expression,A_mel_mkref_out,False,11925
LOC100578653,LOC100578653,Gene Expression,A_mel_mkref_out,False,14442
LOC409926,LOC409926,Gene Expression,A_mel_mkref_out,False,18026
LOC113219272,LOC113219272,Gene Expression,A_mel_mkref_out,False,4374
LOC100576126,LOC100576126,Gene Expression,A_mel_mkref_out,False,38
LOC100576505,LOC100576505,Gene Expression,A_mel_mkref_out,False,647
Rfwd3,GeneID_409940,Gene Expression,A_mel_mkref_out,False,58699
LOC102656611,LOC102656611,Gene Expression,A_mel_mkref_out,False,715
LOC410009,LOC410009,Gene Expression,A_mel_mkref_out,False,2165
LOC102656644,LOC102656644,Gene Expression,A_mel_mkref_out,False,134
LOC102653658,LOC102653658,Gene Expression,A_mel_mkref_out,False,2632
LOC551205,LOC551205,Gene Expression,A_mel_mkref_out,False,20821
LOC100577822,LOC100577822,Gene Expression,A_mel_mkref_out,False,1311
LOC412287,LOC412287,Gene Expression,A_mel_mkref_out,False,27309
LOC409417,LOC409417,Gene Expression,A_mel_mkref_out,False,29307
LOC409074,LOC409074,Gene Expression,A_mel_mkref_out,False,33801
LOC100576132,LOC100576132,Gene Expression,A_mel_mkref_out,False,6033
LOC410686,LOC410686,Gene Expression,A_mel_mkref_out,False,87776
LOC100576242,LOC100576242,Gene Expression,A_mel_mkref_out,False,31467
LOC410756,LOC410756,Gene Expression,A_mel_mkref_out,False,56180
LOC100578472,LOC100578472,Gene Expression,A_mel_mkref_out,False,12210
LOC411985,LOC411985,Gene Expression,A_mel_mkref_out,False,39676
LOC410718,LOC410718,Gene Expression,A_mel_mkref_out,False,74608
LOC409079,LOC409079,Gene Expression,A_mel_mkref_out,False,10360
rtGEF,GeneID_411626,Gene Expression,A_mel_mkref_out,False,29994
LOC725348,LOC725348,Gene Expression,A_mel_mkref_out,False,16082
LOC726918,LOC726918,Gene Expression,A_mel_mkref_out,False,36879
LOC724796,LOC724796,Gene Expression,A_mel_mkref_out,False,104
LOC113218850,LOC113218850,Gene Expression,A_mel_mkref_out,False,24156
LOC410662,LOC410662,Gene Expression,A_mel_mkref_out,False,31114
LOC726223,LOC726223,Gene Expression,A_mel_mkref_out,False,12304
LOC100576446,LOC100576446,Gene Expression,A_mel_mkref_out,False,2407
LOC725816,LOC725816,Gene Expression,A_mel_mkref_out,False,6602
LOC410685,LOC410685,Gene Expression,A_mel_mkref_out,False,20142
LOC100576700,LOC100576700,Gene Expression,A_mel_mkref_out,False,26456
LOC552294,LOC552294,Gene Expression,A_mel_mkref_out,False,42535
LOC409392,LOC409392,Gene Expression,A_mel_mkref_out,False,25269
LOC726590,LOC726590,Gene Expression,A_mel_mkref_out,False,21
LOC551558,LOC551558,Gene Expression,A_mel_mkref_out,False,60237
LOC724618,LOC724618,Gene Expression,A_mel_mkref_out,False,69851
LOC100576662,LOC100576662,Gene Expression,A_mel_mkref_out,False,198
LOC102656426,LOC102656426,Gene Expression,A_mel_mkref_out,False,307
LOC413907,LOC413907,Gene Expression,A_mel_mkref_out,False,927
LOC551842,LOC551842,Gene Expression,A_mel_mkref_out,False,16913
LOC102654856,LOC102654856,Gene Expression,A_mel_mkref_out,False,2027
LOC113219261,LOC113219261,Gene Expression,A_mel_mkref_out,False,2693
LOC409261,LOC409261,Gene Expression,A_mel_mkref_out,False,11743
LOC408614,LOC408614,Gene Expression,A_mel_mkref_out,False,71746
LOC725746,LOC725746,Gene Expression,A_mel_mkref_out,False,18952
LOC552366,LOC552366,Gene Expression,A_mel_mkref_out,False,303
LOC107965508,LOC107965508,Gene Expression,A_mel_mkref_out,False,13206
LOC552229,LOC552229,Gene Expression,A_mel_mkref_out,False,2027
LOC724193,LOC724193,Gene Expression,A_mel_mkref_out,False,1802
LOC412397,LOC412397,Gene Expression,A_mel_mkref_out,False,18302
Grd,GeneID_413803,Gene Expression,A_mel_mkref_out,False,28486
LOC413470,LOC413470,Gene Expression,A_mel_mkref_out,False,27468
LOC412141,LOC412141,Gene Expression,A_mel_mkref_out,False,13884
Emc,GeneID_100216325,Gene Expression,A_mel_mkref_out,False,38377
LOC107965915,LOC107965915,Gene Expression,A_mel_mkref_out,False,69
LOC113219123,LOC113219123,Gene Expression,A_mel_mkref_out,False,86
otd2,GeneID_551357,Gene Expression,A_mel_mkref_out,False,9563
LOC107965347,LOC107965347,Gene Expression,A_mel_mkref_out,False,596
LOC100577648,LOC100577648,Gene Expression,A_mel_mkref_out,False,18587
LOC725081,LOC725081,Gene Expression,A_mel_mkref_out,False,35154
LOC113219140,LOC113219140,Gene Expression,A_mel_mkref_out,False,173
LOC551279,LOC551279,Gene Expression,A_mel_mkref_out,False,64497
LOC724118,LOC724118,Gene Expression,A_mel_mkref_out,False,6628
LOC113218708,LOC113218708,Gene Expression,A_mel_mkref_out,False,7139
LOC100577872,LOC100577872,Gene Expression,A_mel_mkref_out,False,24785
LOC724495,LOC724495,Gene Expression,A_mel_mkref_out,False,9315
LOC113218910,LOC113218910,Gene Expression,A_mel_mkref_out,False,1245
LOC725712,LOC725712,Gene Expression,A_mel_mkref_out,False,25920
LOC551320,LOC551320,Gene Expression,A_mel_mkref_out,False,81558
LOC102654681,LOC102654681,Gene Expression,A_mel_mkref_out,False,14738
LOC409225,LOC409225,Gene Expression,A_mel_mkref_out,False,12378
LOC726243,LOC726243,Gene Expression,A_mel_mkref_out,False,43636
LOC102654175,LOC102654175,Gene Expression,A_mel_mkref_out,False,313
LOC409462,LOC409462,Gene Expression,A_mel_mkref_out,False,13333
LOC100579018,LOC100579018,Gene Expression,A_mel_mkref_out,False,353
LOC552530,LOC552530,Gene Expression,A_mel_mkref_out,False,32521
LOC724330,LOC724330,Gene Expression,A_mel_mkref_out,False,7602
LOC411408,LOC411408,Gene Expression,A_mel_mkref_out,False,24736
LOC408598,LOC408598,Gene Expression,A_mel_mkref_out,False,40446
LOC100578551,LOC100578551,Gene Expression,A_mel_mkref_out,False,20532
LOC113219263,LOC113219263,Gene Expression,A_mel_mkref_out,False,84
LOC411704,LOC411704,Gene Expression,A_mel_mkref_out,False,1877
LOC102655107,LOC102655107,Gene Expression,A_mel_mkref_out,False,2798
LOC412016,LOC412016,Gene Expression,A_mel_mkref_out,False,11228
LOC550645,LOC550645,Gene Expression,A_mel_mkref_out,False,25849
LOC551531,LOC551531,Gene Expression,A_mel_mkref_out,False,13878
LOC102654478,LOC102654478,Gene Expression,A_mel_mkref_out,False,408
Glob1,GeneID_751098,Gene Expression,A_mel_mkref_out,False,1721
LOC107964283,LOC107964283,Gene Expression,A_mel_mkref_out,False,21813
LOC107963991,LOC107963991,Gene Expression,A_mel_mkref_out,False,15401
LOC113219406,LOC113219406,Gene Expression,A_mel_mkref_out,False,1649
LOC727199,LOC727199,Gene Expression,A_mel_mkref_out,False,24725
LOC409298,LOC409298,Gene Expression,A_mel_mkref_out,False,17281
LOC413303,LOC413303,Gene Expression,A_mel_mkref_out,False,1914
LOC100577992,LOC100577992,Gene Expression,A_mel_mkref_out,False,6206
LOC551791,LOC551791,Gene Expression,A_mel_mkref_out,False,11155
LOC113219088,LOC113219088,Gene Expression,A_mel_mkref_out,False,6212
LOC100578184,LOC100578184,Gene Expression,A_mel_mkref_out,False,336
LOC551573,LOC551573,Gene Expression,A_mel_mkref_out,False,22170
LOC413099,LOC413099,Gene Expression,A_mel_mkref_out,False,20555
LOC100578082,LOC100578082,Gene Expression,A_mel_mkref_out,False,5272
LOC412523,LOC412523,Gene Expression,A_mel_mkref_out,False,5324
LOC107964619,LOC107964619,Gene Expression,A_mel_mkref_out,False,104
LOC100577942,LOC100577942,Gene Expression,A_mel_mkref_out,False,56
