"","deviance"
"LOC107994935",1958.96052133885
"LOC107995014",1084.8469311951
"LOC107994755",313.294115967332
"LOC107994963",1136.66114506191
"LOC133666718",11428.1544366008
"LOC114577122",6867.55910382515
"LOC107994978",24875.3468016828
"LOC107994979",2043.35716944451
"LOC107994673",4233.99762669998
"LOC107994967",15325.2147720141
"LOC107994966",46304.6179885801
"LOC107994714",167179.390073853
"LOC133666724",1177.09187859095
"LOC107994885",191929.545265008
"LOC107994890",5015.18596350825
"LOC107994887",200550.907117156
"LOC107994889",12572.3260593774
"LOC114577150",975.360948196502
"LOC114577151",1543.89802786364
"LOC107994877",22348.5755403263
"LOC107994873",1762.41929450621
"LOC107994872",21396.2909529587
"LOC107994875",53815.8806428892
"LOC107994876",747.517567482049
"LOC133666719",730.072818799637
"LOC107994981",25311.6481363363
"LOC107994986",33551.5647667345
"LOC133666730",8595.34922374245
"LOC107994934",23937.2517629616
"LOC107994933",32789.2509605926
"LOC107994671",21456.4826458096
"LOC107994670",6169.26638881483
"LOC107994919",33447.0650154015
"LOC107994964",67615.0207165778
"LOC114577124",388.334274710962
"LOC133666757",3888.62623064247
"LOC107994863",32937.320122429
"LOC108000617",3441.89581269765
"LOC107994864",1794.3098726581
"LOC107994866",2135.8632992474
"LOC133666751",906.940469011839
"LOC107994862",6732.14706970047
"LOC107994884",8535.53165441072
"LOC133666745",8673.29818390847
"LOC133666744",283.870978859284
"LOC107994926",23824.3965378656
"LOC107994924",30726.1349505081
"LOC107994850",110604.551037278
"LOC107994853",26865.6067824978
"LOC133666772",3094.36122154564
"LOC133666770",2489.58467311062
"LOC107994854",3163.79333690177
"LOC107994856",36699.3723982722
"LOC107994858",32440.759036383
"LOC107994855",35623.3772295465
"LOC107994705",30559.3251449734
"LOC107994929",39907.0450071204
"LOC114577103",424.724321128554
"LOC107994930",2122.02291057492
"LOC107994931",1303.28528037829
"LOC107995017",571.769814776768
"LOC107995018",1824.73073539388
"LOC107994861",32313.4565425797
"LOC107994954",26208.0890606192
"LOC107994955",27671.1012012393
"LOC107994961",9849.43844807859
"LOC107994962",13611.8209476022
"LOC107994669",26455.186728694
"LOC107994938",26233.6004995313
"LOC107994937",27114.0312806598
"LOC114577098",6324.43094911296
"LOC133666791",980.169265748516
"LOC107994690",30678.0183514503
"LOC107994973",33454.1853953232
"LOC107994974",28221.0536208667
"LOC107994708",16866.1460295058
"LOC107994667",30897.8946852448
"LOC107994948",24904.3089131227
"LOC107994750",26673.6153247661
"LOC107994740",12442.840344365
"LOC107995011",21953.4770065974
"LOC107994703",25691.9452753308
"LOC107994696",21666.21025365
"LOC107994849",38309.35218821
"LOC107994666",25191.6219606423
"LOC107994848",22065.1277163651
"LOC107994847",28685.3787567357
"LOC107994665",48577.6826433811
"LOC107994846",30274.0422781641
"LOC107994908",54545.1064309343
"LOC107995004",22818.9242424741
"LOC107994869",17746.2010115207
"LOC107994867",293080.58195335
"LOC133666822",1433.69466280798
"LOC114577137",1637.40620218326
"LOC107994892",5397.22455529726
"LOC133666834",1637.19419898871
"LOC107994895",343.995950018755
"LOC107994724",20673.3856576144
"LOC107994734",44374.2568241436
"LOC107994735",8448.48381301298
"LOC107994731",2724.48257803073
"LOC107994733",2366.7156589081
"LOC107994728",1976.2096308162
"LOC107994725",6184.16169819253
"LOC107994729",8052.93502397921
"LOC133666857",385.816481284501
"LOC107994730",4527.78428100351
