gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107994764,LOC107994764,Gene Expression,A_cer_mkref_out,False,8877
LOC107994763,LOC107994763,Gene Expression,A_cer_mkref_out,False,13909
LOC107994765,LOC107994765,Gene Expression,A_cer_mkref_out,False,15062
LOC133666526,LOC133666526,Gene Expression,A_cer_mkref_out,False,235
LOC107994761,LOC107994761,Gene Expression,A_cer_mkref_out,False,4242
LOC107994766,LOC107994766,Gene Expression,A_cer_mkref_out,False,177
LOC107994977,LOC107994977,Gene Expression,A_cer_mkref_out,False,4255
LOC107994975,LOC107994975,Gene Expression,A_cer_mkref_out,False,7983
LOC107994976,LOC107994976,Gene Expression,A_cer_mkref_out,False,4406
LOC107994719,LOC107994719,Gene Expression,A_cer_mkref_out,False,12881
LOC107993083,LOC107993083,Gene Expression,A_cer_mkref_out,False,7920
LOC107994760,LOC107994760,Gene Expression,A_cer_mkref_out,False,72
LOC133666438,LOC133666438,Gene Expression,A_cer_mkref_out,False,35
LOC107994742,LOC107994742,Gene Expression,A_cer_mkref_out,False,889
LOC107994713,LOC107994713,Gene Expression,A_cer_mkref_out,False,908
LOC107994751,LOC107994751,Gene Expression,A_cer_mkref_out,False,79
LOC107994942,LOC107994942,Gene Expression,A_cer_mkref_out,False,9841
LOC107994941,LOC107994941,Gene Expression,A_cer_mkref_out,False,8910
LOC107994971,LOC107994971,Gene Expression,A_cer_mkref_out,False,1468
LOC107994970,LOC107994970,Gene Expression,A_cer_mkref_out,False,261
LOC133666550,LOC133666550,Gene Expression,A_cer_mkref_out,False,40
LOC107994677,LOC107994677,Gene Expression,A_cer_mkref_out,False,7344
LOC133666554,LOC133666554,Gene Expression,A_cer_mkref_out,False,475
LOC107994983,LOC107994983,Gene Expression,A_cer_mkref_out,False,1010
LOC107994699,LOC107994699,Gene Expression,A_cer_mkref_out,False,5358
LOC107994914,LOC107994914,Gene Expression,A_cer_mkref_out,False,2239
LOC107994913,LOC107994913,Gene Expression,A_cer_mkref_out,False,5753
LOC107994912,LOC107994912,Gene Expression,A_cer_mkref_out,False,66
LOC107994676,LOC107994676,Gene Expression,A_cer_mkref_out,False,218
LOC107994723,LOC107994723,Gene Expression,A_cer_mkref_out,False,412
LOC107994744,LOC107994744,Gene Expression,A_cer_mkref_out,False,12710
